05,45,05,0.065,0.065,0,0,20260101,29991231
05,45,05,0.06,0.06,0.02,0.02,20090701,20110630
05,45,05,0.065,0.065,0.00125,0.00125,20190101,20251231
05,45,05,0.06,0.06,0.06,0.06,20040301,20070630
05,45,05,0.06,0.06,0.03,0.03,20070701,20090630
05,45,05,0.06,0.06,0.015,0.015,20110701,20130630
05,45,05,0.065,0.065,0.015,0.015,20130701,20181231
05,00,125,0,0,0,0,20251001,29991231
05,01,16930,0.01,0.01,0.01,0.01,20230401,29991231
05,01,13990,0.04,0.04,0.04,0.04,20230401,29991231
05,01,73940,0.015,0.015,0.015,0.015,20230401,29991231
05,01,72320,0.02,0.02,0.02,0.02,20230401,29991231
05,01,03430,0.01,0.01,0.01,0.01,20231001,29991231
